sample	condition	bio_rep	tech_rep	r1	r2
IF_1A	inoculated	IF_1	IF_1A	IF_1A-R1.fastq.gz	IF_1A-R2.fastq.gz
IF_1B	inoculated	IF_1	IF_1B	IF_1B-R1.fastq.gz	IF_1B-R2.fastq.gz
IF_1C	inoculated	IF_1	IF_1C	IF_1C-R1.fastq.gz	IF_1C-R2.fastq.gz
IF_2A	inoculated	IF_2	IF_2A	IF_2A-R1.fastq.gz	IF_2A-R2.fastq.gz
IF_2B	inoculated	IF_2	IF_2B	IF_2B-R1.fastq.gz	IF_2B-R2.fastq.gz
IF_2C	inoculated	IF_2	IF_2C	IF_2C-R1.fastq.gz	IF_2C-R2.fastq.gz
IF_3A	inoculated	IF_3	IF_3A	IF_3A-R1.fastq.gz	IF_3A-R2.fastq.gz
IF_3B	inoculated	IF_3	IF_3B	IF_3B-R1.fastq.gz	IF_3B-R2.fastq.gz
IF_3C	inoculated	IF_3	IF_3C	IF_3C-R1.fastq.gz	IF_3C-R2.fastq.gz
RC_1A	control	RC_1	RC_1A	RC_1A-R1.fastq.gz	RC_1A-R2.fastq.gz
RC_1B	control	RC_1	RC_1B	RC_1B-R1.fastq.gz	RC_1B-R2.fastq.gz
RC_1C	control	RC_1	RC_1C	RC_1C-R1.fastq.gz	RC_1C-R2.fastq.gz
RC_2A	control	RC_2	RC_2A	RC_2A-R1.fastq.gz	RC_2A-R2.fastq.gz
RC_2B	control	RC_2	RC_2B	RC_2B-R1.fastq.gz	RC_2B-R2.fastq.gz
RC_2C	control	RC_2	RC_2C	RC_2C-R1.fastq.gz	RC_2C-R2.fastq.gz
RC_3A	control	RC_3	RC_3A	RC_3A-R1.fastq.gz	RC_3A-R2.fastq.gz
RC_3B	control	RC_3	RC_3B	RC_3B-R1.fastq.gz	RC_3B-R2.fastq.gz
RC_3C	control	RC_3	RC_3C	RC_3C-R1.fastq.gz	RC_3C-R2.fastq.gz
