sample	condition	bio_rep	tech_rep	r1	r2
inoculated_1_A	inoculated	1	A	IF_1A_R1.fastq.gz	IF_1A_R2.fastq.gz
inoculated_1_B	inoculated	1	B	IF_1B_R1.fastq.gz	IF_1B_R2.fastq.gz
inoculated_1_C	inoculated	1	C	IF_1C_R1.fastq.gz	IF_1C_R2.fastq.gz
inoculated_2_A	inoculated	2	A	IF_2A_R1.fastq.gz	IF_2A_R2.fastq.gz
inoculated_2_B	inoculated	2	B	IF_2B_R1.fastq.gz	IF_2B_R2.fastq.gz
inoculated_2_C	inoculated	2	C	IF_2C_R1.fastq.gz	IF_2C_R2.fastq.gz
inoculated_3_A	inoculated	3	A	IF_3A_R1.fastq.gz	IF_3A_R2.fastq.gz
inoculated_3_B	inoculated	3	B	IF_3B_R1.fastq.gz	IF_3B_R2.fastq.gz
inoculated_3_C	inoculated	3	C	IF_3C_R1.fastq.gz	IF_3C_R2.fastq.gz
control_1_A	control	1	A	RC_1A-R1.fastq.gz	RC_1A_R2.fastq.gz
control_1_B	control	1	B	RC_1B_R1.fastq.gz	RC_1B_R2.fastq.gz
control_1_C	control	1	C	RC_1C_R1.fastq.gz	RC_1C_R2.fastq.gz
control_2_A	control	2	A	RC_2A_R1.fastq.gz	RC_2A_R2.fastq.gz
control_2_B	control	2	B	RC_2B_R1.fastq.gz	RC_2B_R2.fastq.gz
control_2_C	control	2	C	RC_2C_R1.fastq.gz	RC_2C_R2.fastq.gz
control_3_A	control	3	A	RC_3A_R1.fastq.gz	RC_3A_R2.fastq.gz
control_3_B	control	3	B	RC_3B_R1.fastq.gz	RC_3B_R2.fastq.gz
control_3_C	control	3	C	RC_3C_R1.fastq.gz	RC_3C_R2.fastq.gz
